Year,FAMILY INTERVIEW (ID) NUMBER,AMOUNT CREDIT/STORE CARD DEBT,AMT INVESTED IN STOCKS ,TOTAL FAMILY INCOM, COMPLETED ED
2017,307,0,0,56204,16
2017,154,0,0,91550,16
2017,609,0,0,179716,17
2017,1834,5000,0,118200,12
2017,1418,12000,0,47500,16
2017,1030,0,0,5000,13
2017,NA,NA,NA,NA,NA
2017,1068,0,0,21421,14
2017,2079,13000,0,55800,14
2017,1807,3000,0,40700,99
2017,NA,NA,NA,NA,NA
2017,1522,7000,0,52000,15
2017,1597,1000,0,102702,16
2017,1372,0,0,39112,14
2017,1499,0,0,46410,16
2017,NA,NA,NA,NA,NA
2017,1465,0,0,48210,12
2017,1574,0,0,-84022,16
2017,1555,100,0,53347,12
2017,1589,0,0,76482,10
2017,1513,0,0,64050,14
2017,1511,3500,0,100684,12
2017,1620,0,0,192000,16
2017,1467,0,0,30000,11
2017,2404,3000,0,53020,14
2017,NA,NA,NA,NA,NA
2017,220,0,600,124367,17
2017,635,0,0,99494,17
2017,472,14000,0,56201,16
2017,216,0,50000,219900,17
2017,806,6000,0,51000,17
2017,820,0,0,18200,15
2017,163,0,0,85200,17
2017,908,0,0,29278,16
2017,NA,NA,NA,NA,NA
2017,695,8000,0,133640,17
2017,NA,NA,NA,NA,NA
2017,274,0,0,73370,17
2017,2768,2500,0,42050,12
2017,3245,0,0,27000,12
2017,3061,0,0,52000,12
2017,NA,NA,NA,NA,NA
2017,3408,0,0,49389,12
2017,3319,30000,0,102612,13
2017,1225,3500,0,111737,15
2017,1509,800,0,33595,16
2017,1072,0,0,190000,16
2017,1862,6000,0,94431,13
2017,810,2000,0,74821,16
2017,NA,NA,NA,NA,NA
2017,671,0,0,14760,12
2017,4294,0,0,24000,12
2017,5281,4000,0,62384,12
2017,5734,0,0,66480,12
2017,5013,5000,0,65030,11
2017,2212,20000,0,113310,16
2017,1423,0,0,115230,17
2017,1188,2000,0,49660,17
2017,8849,0,0,70500,12
2017,9230,0,0,46043,15
2017,7512,0,0,40000,17
2017,7482,0,0,48000,13
2017,4235,20000,0,31202,16
2017,7281,0,0,31644,12
2017,4291,500,0,30052,13
2017,6792,0,20000,41499,17
2017,4803,0,0,8820,12
2017,5337,0,80000,110800,17
2017,3884,0,0,56000,10
2017,NA,NA,NA,NA,NA
2017,3960,0,0,46000,11
2017,6660,8000,0,72500,12
2017,5380,0,0,67847,16
2017,NA,NA,NA,NA,NA
2017,8812,0,100000,86525,16
2017,3877,0,0,44792,12
2017,6778,0,0,117100,12
2017,7117,2000,0,42100,12
2017,NA,NA,NA,NA,NA
2017,2591,0,0,169880,17
2017,3357,0,0,274010,14
2017,2968,0,0,42050,17
2017,2915,0,35000,229060,17
2017,2629,0,0,210740,16
2017,3916,12000,0,2061,16
2017,NA,NA,NA,NA,NA
2017,2930,0,0,119626,16
2017,NA,NA,NA,NA,NA
2017,3642,0,20000,1304500,16
2017,NA,NA,NA,NA,NA
2017,3853,0,0,53090,15
2017,NA,NA,NA,NA,NA
2017,4848,0,0,155200,17
2017,460,15000,0,73000,17
2017,9130,50000,0,136350,12
2017,9278,10000,0,36000,12
2017,8657,0,0,123000,9
2017,9414,10000,2000,145050,16
2017,290,15000,0,45000,17
2017,493,0,0,160000,16
2017,279,0,0,150100,17
2017,899,0,0,120020,16
2017,3994,0,0,52500,16
2017,NA,NA,NA,NA,NA
2017,3947,500,0,48185,16
2017,667,0,0,24100,16
2017,67,0,0,131018,16
2017,482,0,10000,216092,16
2017,551,0,0,75050,17
2017,159,0,0,295400,16
2017,NA,NA,NA,NA,NA
2017,550,0,999999998,134839,17
2017,207,0,0,47419,14
2017,1038,0,999999998,123120,17
2017,1156,10000,0,210690,17
2017,1122,8000,0,147024,16
2017,2408,0,0,170100,17
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,631,0,0,73434,14
2017,574,0,0,12000,12
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,5893,7000,0,48010,16
2017,5310,0,0,74736,14
2017,8710,30000,0,138002,13
2017,7026,3500,0,78500,14
2017,NA,NA,NA,NA,NA
2017,934,0,0,198500,16
2017,122,0,0,101700,16
2017,461,0,0,120600,17
2017,1472,0,0,49400,9
2017,1689,3000,0,112219,12
2017,2508,0,0,32500,12
2017,1608,0,0,131697,13
2017,NA,NA,NA,NA,NA
2017,2506,0,0,80000,14
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,9545,0,0,79681,14
2017,5515,0,0,31825,15
2017,8350,3000,0,122100,14
2017,8186,0,0,141600,16
2017,2555,0,0,12100,12
2017,3361,0,200,130220,13
2017,2941,2000,0,52847,17
2017,2895,1000,0,50050,16
2017,NA,NA,NA,NA,NA
2017,2562,0,0,66947,12
2017,NA,NA,NA,NA,NA
2017,2336,2000,0,81000,14
2017,NA,NA,NA,NA,NA
2017,1402,0,0,21700,12
2017,1059,0,0,80300,12
2017,1261,20000,0,52048,16
2017,358,0,0,23400,14
2017,9439,12000,0,112300,12
2017,124,0,0,44700,16
2017,559,0,0,40735,14
2017,203,0,0,99700,17
2017,4762,8000,0,26800,13
2017,5456,0,0,10850,12
2017,6505,0,0,12108,12
2017,NA,NA,NA,NA,NA
2017,7889,8000,0,172000,17
2017,NA,NA,NA,NA,NA
2017,6056,0,0,33240,12
2017,6479,7000,0,105600,17
2017,4854,0,0,59141,12
2017,9122,0,0,175720,16
2017,5634,0,0,33770,16
2017,5877,0,0,54900,17
2017,5510,0,0,92026,14
2017,6237,0,0,201700,16
2017,4200,0,0,203250,16
2017,8208,15000,0,306100,16
2017,9558,7000,0,62020,16
2017,8367,0,0,10000,16
2017,2712,0,0,55804,14
2017,3001,0,0,58984,17
2017,3320,0,0,49005,13
2017,3007,0,30000,135346,17
2017,NA,NA,NA,NA,NA
2017,3542,0,0,250000,17
2017,3202,0,0,25005,16
2017,2613,0,0,448263,16
2017,2788,2800,0,25000,13
2017,NA,NA,NA,NA,NA
2017,2735,0,5000,51250,15
2017,3545,8000,0,56100,14
2017,NA,NA,NA,NA,NA
2017,4911,0,0,54247,8
2017,NA,NA,NA,NA,NA
2017,4427,8000,0,78430,14
2017,4182,0,0,8000,12
2017,5124,0,0,31000,13
2017,8032,3800,0,62000,14
2017,9180,1100,0,121468,12
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,6710,3000,0,87000,12
2017,8902,0,0,43600,10
2017,5133,0,0,111647,13
2017,8578,0,0,29000,11
2017,9377,500,0,98800,16
2017,4450,20000,0,87550,13
2017,6912,2500,0,90000,12
2017,4859,0,0,45000,12
2017,5733,20000,0,162400,11
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,4375,18000,0,197700,16
2017,4486,15102,0,84125,16
2017,5300,0,0,415049,17
2017,NA,NA,NA,NA,NA
2017,8003,0,0,25000,11
2017,4636,0,0,84710,11
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,8772,0,0,21000,13
2017,4786,2000,0,119300,17
2017,9566,0,0,106150,10
2017,NA,NA,NA,NA,NA
2017,5474,0,0,18680,14
2017,5558,0,0,74572,16
2017,4741,0,0,33150,17
2017,4435,0,0,71200,17
2017,6247,3000,0,69031,17
2017,5919,0,0,262800,16
2017,4243,0,0,91200,16
2017,NA,NA,NA,NA,NA
2017,909,0,5000,136100,16
2017,3032,8600,0,21288,14
2017,3628,0,0,26000,12
2017,4006,0,0,23300,12
2017,4355,12000,0,31499,14
2017,4226,10000,0,192000,13
2017,3816,0,0,23736,15
2017,4593,0,0,52000,16
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,5031,6000,0,43000,16
2017,NA,NA,NA,NA,NA
2017,8273,0,0,53100,14
2017,6685,0,0,127000,17
2017,4758,0,0,24400,12
2017,6101,25000,0,105300,16
2017,4979,0,0,86500,14
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,8575,0,0,41001,11
2017,7836,0,0,25000,15
2017,8042,5000,0,75500,10
2017,8024,10000,400,107500,13
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,345,45000,0,57950,14
2017,726,2000,0,67780,16
2017,287,0,0,17737,13
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,924,30000,0,124100,14
2017,205,0,0,33200,12
2017,638,0,0,60025,12
2017,NA,NA,NA,NA,NA
2017,2511,12000,0,109020,17
2017,1721,7000,0,38005,17
2017,1256,0,0,180702,17
2017,1708,0,0,47000,16
2017,1260,0,0,121827,16
2017,1337,0,0,160014,17
2017,1557,100000,0,170100,12
2017,2484,0,0,540100,17
2017,366,8000,0,65300,17
2017,NA,NA,NA,NA,NA
2017,9052,300,0,17097,16
2017,NA,NA,NA,NA,NA
2017,6305,10000,0,66518,14
2017,8833,3500,0,115000,16
2017,4437,20000,0,54580,15
2017,9188,4000,25000,87006,17
2017,4149,0,0,170000,17
2017,4199,0,0,49000,14
2017,7773,0,0,91500,12
2017,NA,NA,NA,NA,NA
2017,8962,0,0,23000,14
2017,7574,15000,0,102900,16
2017,6895,0,0,108100,16
2017,7771,0,0,119050,11
2017,7758,0,0,120000,16
2017,46,0,0,48649,14
2017,4746,0,0,166000,16
2017,4052,7000,0,95600,16
2017,9108,0,0,126300,16
2017,8083,0,0,80003,16
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,4156,0,0,350200,16
2017,3871,2000,0,111910,14
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,4255,4000,0,55950,11
2017,9372,0,0,80520,17
2017,3887,3000,0,145000,11
2017,8107,0,0,536010,17
2017,4239,0,0,58002,15
2017,NA,NA,NA,NA,NA
2017,4116,8000,0,145000,16
2017,6752,0,0,53800,12
2017,NA,NA,NA,NA,NA
2017,4968,14200,0,92873,11
2017,4895,0,0,580500,16
2017,4211,0,0,15500,12
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,8832,0,0,86712,12
2017,7421,0,0,42902,17
2017,8150,0,0,24873,17
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,7736,0,0,16695,16
2017,8573,0,0,42664,12
2017,7293,0,0,174340,16
2017,NA,NA,NA,NA,NA
2017,5196,3000,0,129200,17
2017,7254,0,360000,1401000,16
2017,9573,0,15000,290800,16
2017,423,3800,0,180426,13
2017,435,0,0,259500,13
2017,275,10000,0,208006,16
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,3271,9000,0,49250,16
2017,3273,0,0,80200,15
2017,3229,400,0,45002,16
2017,2841,0,0,44102,14
2017,3639,50000,0,220000,12
2017,1319,0,0,67600,13
2017,1905,0,3113,67012,17
2017,2358,0,0,38100,14
2017,1661,0,0,59702,14
2017,5211,0,0,31200,11
2017,4639,0,0,45020,10
2017,7731,7000,0,43510,11
2017,4481,420,0,28701,15
2017,4517,0,0,7970,15
2017,4506,200,0,52050,11
2017,4713,2000,0,49534,14
2017,NA,NA,NA,NA,NA
2017,4891,1000,0,42830,11
2017,4402,0,0,126020,13
2017,4598,3000,0,32100,12
2017,1709,0,0,98598,12
2017,1040,0,0,36299,12
2017,2450,0,0,110110,16
2017,NA,NA,NA,NA,NA
2017,8345,2000,0,125070,10
2017,NA,NA,NA,NA,NA
2017,4392,2500,0,100000,12
2017,9315,0,0,33000,11
2017,9043,15000,0,120000,14
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,2308,0,0,21356,14
2017,1560,0,0,217016,17
2017,1959,4000,0,61500,14
2017,2220,7000,0,113600,15
2017,1848,15000,0,71200,16
2017,1420,0,0,117968,14
2017,1521,2500,0,128002,16
2017,NA,NA,NA,NA,NA
2017,7377,0,0,27800,14
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,6549,0,0,104010,12
2017,6957,200,0,127000,16
2017,9465,0,0,48000,14
2017,NA,NA,NA,NA,NA
2017,626,0,0,66304,12
2017,565,0,0,44112,10
2017,734,0,0,18960,9
2017,968,10000,0,61050,15
2017,1070,0,0,69926,16
2017,1166,0,20000,176002,17
2017,1929,0,0,165002,17
2017,NA,NA,NA,NA,NA
2017,1121,0,0,150220,16
2017,NA,NA,NA,NA,NA
2017,458,0,0,12100,12
2017,NA,NA,NA,NA,NA
2017,1282,10000,0,72000,17
2017,1055,0,0,12600,16
2017,1983,0,0,40000,16
2017,1206,0,0,139766,14
2017,784,0,0,59600,17
2017,913,0,0,0,12
2017,1061,0,0,206000,17
2017,2150,0,0,980100,16
2017,4571,471,999999998,39400,16
2017,4180,0,15000,192105,16
2017,8996,0,0,32020,16
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,8471,0,0,329020,17
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,223,0,0,58000,13
2017,2988,0,0,190100,17
2017,3021,13000,0,31000,14
2017,2982,1500,0,158100,99
2017,3363,9999999,0,350000,16
2017,504,0,0,54012,8
2017,6390,0,0,258020,16
2017,8492,0,0,132000,16
2017,8555,0,0,83600,14
2017,8831,10000,0,278000,16
2017,9161,0,0,221000,13
2017,3942,3000,0,91002,17
2017,NA,NA,NA,NA,NA
2017,2605,0,0,34200,15
2017,2609,0,0,38690,16
2017,2646,1500,5500,69520,16
2017,3009,0,0,9560,12
2017,2702,1000,1300,33300,16
2017,2792,0,999999998,55700,17
2017,2623,0,0,69800,17
2017,3741,1800,0,74530,14
2017,2829,0,0,91700,15
2017,3507,0,0,165797,10
2017,87,0,0,34524,15
2017,1057,0,0,0,11
2017,2244,1800,0,108600,12
2017,1111,0,0,8820,12
2017,1045,0,0,24930,10
2017,1217,0,0,15600,11
2017,1208,0,0,26001,15
2017,1849,0,0,45000,10
